CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100)
207,Male,19,168,24
208,Female,54,118,84
209,Male,83,110,55
210,Male,91,78,1
211,Male,38,83,37
212,Female,14,73,95
213,Female,36,93,40
214,Female,76,81,37
215,Male,95,22,11
216,Female,73,73,29
217,Male,29,111,64
218,Female,3,1,100
219,Female,89,99,32
220,Female,26,131,44
221,Female,93,198,7
222,Female,52,74,2
223,Female,78,1,40
224,Female,64,6,22
225,Female,73,97,78
226,Female,39,171,70
227,Male,91,63,61
228,Female,41,143,54
229,Female,85,49,25
230,Male,69,105,24
231,Male,2,128,19
232,Female,15,162,38
233,Female,98,45,95
234,Female,81,17,15
235,Male,89,160,53
236,Female,40,141,1
237,Male,88,7,26
238,Male,62,175,38
239,Male,16,6,20
240,Female,58,128,19
241,Male,73,128,84
242,Male,41,169,79
243,Female,16,58,47
244,Male,23,84,57
245,Female,6,54,77
246,Female,88,168,9
247,Female,91,89,1
248,Male,46,59,87
249,Female,15,192,65
250,Female,99,5,80
251,Male,7,81,76
252,Male,17,36,53
253,Male,11,200,66
254,Male,57,193,89
255,Female,18,113,100
256,Male,55,37,59
257,Female,92,43,33
258,Female,96,124,2
259,Female,17,147,88
260,Male,68,135,19
261,Female,81,9,58
262,Male,28,89,54
263,Female,5,156,98
264,Female,99,81,12
265,Female,46,118,82
266,Female,35,172,19
267,Male,59,140,91
268,Male,40,126,99
269,Male,50,138,35
270,Male,6,136,13
271,Female,6,64,35
272,Female,31,176,85
273,Female,29,192,94
274,Male,13,196,80
275,Male,5,112,23
276,Male,76,7,50
277,Male,22,147,73
278,Female,56,12,43
279,Female,9,83,33
280,Male,79,46,28
281,Female,6,62,91
282,Female,52,171,13
283,Male,60,48,66
284,Male,75,182,43
285,Female,59,26,66
286,Female,85,76,92
287,Male,70,181,84
288,Female,91,8,37
289,Female,81,66,14
290,Female,22,119,99
291,Male,54,167,61
292,Female,71,5,35
293,Female,83,152,35
294,Female,32,11,82
295,Female,18,55,31
296,Male,13,20,97
297,Female,77,63,99
298,Male,16,193,87
299,Female,60,65,44
300,Male,61,29,57
301,Male,38,143,89
302,Male,38,181,30
303,Male,5,186,10
304,Female,77,159,45
305,Female,5,47,80
306,Female,84,43,43
307,Female,49,20,20
308,Female,3,15,99
309,Male,28,10,28
310,Female,91,47,34
311,Female,35,47,26
312,Male,63,155,57
313,Female,15,187,22
314,Male,91,36,4
315,Female,81,28,72
316,Male,85,72,14
317,Female,54,198,83
318,Female,36,142,95
319,Male,9,49,82
320,Male,7,156,1
321,Male,44,183,97
322,Female,92,50,73
323,Male,56,84,23
324,Female,31,143,22
325,Female,48,75,64
